hour,channel,nip_h_chan
0,0,48
0,3,46962
0,4,22
0,5,20
0,13,579
0,14,2
0,15,50
0,17,12730
0,18,383
0,19,75462
0,21,18429
0,22,73
0,24,301
0,30,1366
0,101,11037
0,105,48356
0,107,519967
0,108,422
0,110,6918
0,111,35388
0,113,9566
0,114,21
0,115,74907
0,116,29523
0,118,83813
0,120,1871
0,121,246291
0,122,165587
0,123,9216
0,124,26145
0,125,58571
0,126,1612
0,127,21631
0,128,172761
0,129,46
0,130,75241
0,134,633882
0,135,143833
0,137,111581
0,138,4543
0,140,153627
0,145,209621
0,150,12751
0,153,306750
0,160,3391
0,171,2105
0,173,83451
0,174,14324
0,178,311890
0,181,5
0,182,960
0,203,538
0,205,203358
0,208,45400
0,210,1375
0,211,30090
0,212,55082
0,213,25980
0,215,92987
0,216,3
0,219,131634
0,222,10
0,223,4
0,224,840
0,225,6
0,227,1
0,232,99431
0,234,26299
0,236,71511
0,237,118032
0,238,2
0,242,13477
0,243,8953
0,244,24683
0,245,373362
0,248,1
0,253,278
0,256,2
0,258,50011
0,259,263898
0,261,47
0,262,21784
0,265,244250
0,266,56883
0,268,668
0,272,31
0,274,2697
0,277,84842
0,278,35518
0,280,1061641
0,281,10
0,282,1033
0,311,232
0,315,71056
0,317,11579
0,319,41572
0,320,664
0,325,20909
0,326,19454
0,328,89620
0,330,16427
0,332,85
0,333,1235
0,334,143938
0,340,15824
0,341,112
0,343,14364
0,347,30175
0,349,61301
0,352,10
0,353,78
0,356,2723
0,360,68603
0,361,435
0,364,22461
0,371,282910
0,373,4819
0,376,32748
0,377,86708
0,379,180161
0,386,49921
0,391,1067
0,400,23787
0,401,77539
0,402,12687
0,406,4558
0,407,3
0,408,29
0,409,109588
0,410,723
0,411,2450
0,412,35766
0,414,61
0,416,17859
0,417,19084
0,419,99
0,420,671
0,421,836
0,424,91889
0,430,35083
0,435,120986
0,439,171202
0,442,184314
0,445,36532
0,446,3725
0,449,1103
0,450,1522
0,451,112
0,452,98979
0,453,2630
0,455,64
0,456,242
0,457,7233
0,459,156510
0,460,376
0,463,56200
0,465,13
0,466,112157
0,467,13256
0,469,145305
0,471,2
0,477,278477
0,478,31956
0,479,396
0,480,143829
0,481,43959
0,483,597
0,484,145
0,486,78
0,487,21109
0,488,2317
0,489,149913
0,496,5989
0,497,26565
0,498,56
1,0,50
1,3,40012
1,4,24
1,5,113
1,13,624
1,14,3
1,15,69
1,17,11523
1,18,410
1,19,68308
1,21,20544
1,22,90
1,24,426
1,30,515
1,101,8954
1,105,56244
1,107,409152
1,108,427
1,110,10156
1,111,30231
1,113,13220
1,114,52
1,115,66471
1,116,25402
1,118,18539
1,120,2283
1,121,193692
1,122,141589
1,123,6456
1,124,23683
1,125,56171
1,126,1737
1,127,17896
1,128,147855
1,129,48
1,130,68703
1,134,334531
