hour,channel,nip_h_chan
0,0,15
0,3,18522
0,4,3
0,5,22
0,13,553
0,15,34
0,17,4053
0,18,141
0,19,23100
0,21,7637
0,22,92
0,24,163
0,30,404
0,101,6152
0,105,9101
0,107,223943
0,108,173
0,110,479
0,111,11093
0,113,883
0,115,22248
0,116,13062
0,118,696
0,120,357
0,121,78223
0,122,53094
0,123,3
0,124,8280
0,125,18183
0,126,328
0,127,75032
0,128,93951
0,129,7
0,130,23995
0,134,172605
0,135,44876
0,137,45363
0,138,3
0,140,33718
0,145,142427
0,150,3926
0,153,92214
0,160,135
0,171,412
0,173,26693
0,174,29
0,178,102045
0,182,580
0,203,133
0,205,66714
0,208,19
0,210,566
0,211,21184
0,212,17886
0,213,10912
0,215,27389
0,216,5
0,219,42925
0,222,1
0,223,2
0,224,243
0,225,1
0,232,79166
0,234,8574
0,236,19582
0,237,30143
0,242,4234
0,243,1769
0,244,37654
0,245,741
0,253,175
0,258,13439
0,259,84130
0,261,54
0,262,46
0,265,87748
0,266,18541
0,268,180
0,274,176
0,277,48
0,278,11572
0,280,2099
0,281,1
0,282,474
0,311,20
0,315,22512
0,317,3828
0,319,14696
0,320,98
0,322,4228
0,325,7331
0,326,5672
0,328,29005
0,330,99
0,332,66
0,333,572
0,334,45467
0,340,15378
0,341,8
0,343,6623
0,347,19428
0,349,19245
0,352,1
0,353,40
0,356,34
0,360,379
0,361,374
0,364,7087
0,371,18636
0,373,2042
0,376,6570
0,377,27963
0,379,77581
0,386,16066
0,391,73
0,400,10061
0,401,21345
0,402,7302
0,404,2580
0,406,667
0,407,3
0,408,1
0,409,35428
0,410,17
0,411,534
0,412,11418
0,414,24
0,416,28
0,417,5535
0,419,21
0,420,10
0,421,394
0,424,27787
0,430,10800
0,435,39202
0,439,53817
0,442,68211
0,445,16458
0,446,274
0,448,3621
0,449,702
0,450,70
0,451,20
0,452,30667
0,453,67
0,455,32
0,456,98
0,457,23
0,458,1
0,459,21053
0,460,122
0,463,11997
0,465,4
0,466,84567
0,467,2412
0,469,48503
0,477,94772
0,478,11752
0,479,115
0,480,48514
0,481,14627
0,484,156
0,487,7404
0,488,28
0,489,51210
0,490,4227
0,497,8420
0,498,19
1,0,11
1,3,11802
1,4,3
1,5,405
1,13,640
1,15,38
1,17,3949
1,18,160
1,19,21840
1,21,8538
1,22,106
1,24,210
1,30,450
1,101,7087
1,105,10650
1,107,213374
1,108,186
1,110,91
1,111,10086
1,113,2432
1,114,5
1,115,20526
1,116,12295
1,118,817
1,120,392
1,121,74924
1,122,47311
1,123,2
1,124,7862
1,125,16538
1,126,149
1,127,71760
1,128,90903
1,129,7
1,130,22973
1,134,87572
1,135,42392
1,137,42748
1,138,1
1,140,26383
1,145,133964
1,150,3771
1,153,85903
1,160,155
1,171,419
1,173,24856
1,174,28
1,178,102928
1,181,2
1,182,651
1,203,123
1,205,66173
1,208,33
1,210,674
1,211,20395
1,212,18795
1,213,12852
1,215,25972
1,216,4
1,219,41550
1,222,2
1,224,250
1,232,62594
1,234,8502
1,236,19365
1,237,30263
1,242,4092
1,243,1426
1,244,32252
1,245,847
1,251,1
1,253,146
1,256,4
1,258,12482
1,259,79278
