hour,os,nip_h_os
0,0,10479
0,1,138455
0,2,26724
0,3,163011
0,4,30786
0,5,6570
0,6,249829
0,7,10745
0,8,305740
0,9,228043
0,10,294164
0,11,69787
0,12,110535
0,13,2252781
0,14,140824
0,15,250224
0,16,166180
0,17,532162
0,18,505814
0,19,2620864
0,20,223761
0,21,3443
0,22,441207
0,23,97402
0,24,10866
0,25,234369
0,26,47687
0,27,92866
0,28,72435
0,29,3218
0,30,61303
0,31,42069
0,32,89744
0,34,15061
0,35,95497
0,36,37962
0,37,156205
0,38,4688
0,39,3885
0,40,42567
0,41,130569
0,42,15523
0,43,17188
0,44,10346
0,45,1
0,46,18230
0,47,69926
0,48,9872
0,49,33162
0,50,2305
0,52,2617
0,53,78328
0,54,74
0,55,2773
0,56,5380
0,57,613
0,58,12008
0,59,567
0,60,337
0,61,16
0,62,1906
0,63,1583
0,64,2307
0,65,2840
0,66,3500
0,67,193
0,68,93
0,69,364
0,70,4048
0,71,328
0,72,118
0,73,1267
0,74,285
0,75,8
0,76,819
0,77,1945
0,78,234
0,79,3355
0,80,343
0,81,276
0,83,570
0,84,62
0,85,557
0,86,57
0,87,249
0,88,91
0,89,123
0,90,941
0,91,32
0,92,199
0,93,1
0,94,11
0,95,28
0,96,1234
0,97,1299
0,98,1352
0,99,3
0,100,852
0,101,56
0,102,342
0,103,27
0,104,5
0,105,68
0,106,101
0,107,48
0,108,14
0,109,1073
0,110,241
0,111,83
0,112,311
0,113,52
0,114,55
0,115,11
0,116,3
0,117,133
0,118,164
0,119,28
0,120,58
0,122,17
0,123,90
0,124,50
0,125,9
0,126,16
0,127,22
0,128,34
0,129,3
0,132,138
0,133,88
0,134,124
0,135,17
0,136,1
0,137,113
0,138,37
0,140,30
0,141,170
0,142,5
0,145,76
0,146,10
0,147,7
0,148,68
0,149,14
0,150,6
0,151,73
0,152,44
0,153,18
0,155,204
0,156,31
0,157,1
0,158,68
0,159,22
0,160,3
0,162,5
0,163,11
0,164,24
0,168,15
0,169,10
0,171,39
0,172,33
0,173,4
0,174,86
0,175,21
0,178,83
0,181,3
0,183,2
0,184,77
0,185,23
0,188,11
0,190,5
0,191,1
0,192,2
0,193,1
0,196,15
0,198,72
0,199,10
0,201,2
0,202,4
0,203,1
0,205,6
0,207,41
0,208,18
0,209,4
0,213,10
0,214,21
0,215,5
0,217,35
0,219,3
0,222,6
0,223,17
0,225,1
0,226,4
0,228,1
0,229,1
0,231,6
0,233,4
0,234,1
0,237,10
0,241,1
0,242,3
0,243,2
0,245,39
0,248,2
0,250,1
0,251,1
0,252,3
0,254,3
0,260,8
0,262,1
0,265,2
0,268,1
0,269,1
0,272,1
0,273,1
0,274,7
0,281,8
0,284,3
0,298,1
0,300,7
0,303,1
0,305,7
0,316,2
0,321,1
0,324,1
0,326,1
0,337,1
0,338,3
0,339,2
0,346,1
0,363,1
